Time Uninfected Infected Infectious Recovered 
0 9832 168 0 0 
1 9832 168 0 0 
2 9832 106 62 0 
3 9719 169 112 0 
4 9426 406 152 16 
5 8978 821 156 45 
6 8594 1069 244 93 
7 8224 1162 481 133 
8 7691 1322 785 202 
9 6903 1693 1065 339 
10 5980 2199 1300 521 
11 5023 2600 1557 820 
12 4128 2757 1900 1215 
13 3231 2748 2372 1649 
14 2393 2687 2749 2171 
15 1746 2406 3043 2805 
16 1259 2004 3151 3586 
17 888 1542 3111 4459 
18 670 1115 2879 5336 
19 512 776 2453 6259 
20 407 535 1965 7093 
21 337 343 1491 7829 
22 269 251 1079 8401 
23 227 190 744 8839 
24 201 134 518 9147 
